     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
V14   4   X  98  86   X  80   X   X   X   X  61  64  77  77   X   X   X  62   X  41   X   X   X   X   X 
V15   X  13  45   X   X  65   X   X   X   X  94  63   X   X   X   X  87   X   X   X   X   X   X   X  93 
V16   X  55   X   X  82   X  12   X   X  43  70  99   X   X   X  87   X  96   X  44   X  99  75   X  79 
V17   X   X  13   X  19   X   X  97   X   7   X   X   X  23  62   X  96   X   X   X  35  60  34   X   X 
V18   X   X   X   X   7  20   X  34  77   4   X   X   X   X   X   X   X   X   X  26   X   X   X   X   X 
V19   X   X  93   X  76   X   X   X  56   X   X  60  73   X  41   X  44   X  26   X   X   X   X   X   X 
V20   X   X  83   X   X   X   X   X   X   X   X   X   X   X   X   X   X  35   X   X   X   X   X   X   X 
V21   6  14  91   X   X   X   X   X  37  23   X  58   X  42   X   X  99  60   X   X   X   X   X  68  58 
V22   X   X  68   X   X   X   X   X  86   X  61  53  10  36   X   X  75  34   X   X   X   X   X  64   X 
V23   X   X  86  18   X   X  74   X   X   X   X  73   X   X   X   X   X   X   X   X   X  68  64   X   X 
V24  79   7   X   X  60   X   X   X   X   X   X   X   X  34   X  93  79   X   X   X   X  58   X   X   X 
(V14-V0,4)(V9-V18,4)(V0-V21,6)(V18-V4,7)(V17-V9,7)(V24-V1,7)(V22-V12,10)(V16-V6,12)(V9-V5,12)(V2-V17,13)(V15-V1,13)(V1-V21,14)(V1-V13,15)(V6-V9,16)(V0-V4,16)(V23-V3,18)(V7-V6,19)(V8-V2,20)(V19-V18,26)(V11-V3,34)(V22-V17,34)(V17-V20,35)(V22-V11,53)(V22-V10,61)最小生成树总权值为456
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X   X   5  50  30   X  86   X   X   X  43   X   X   X   X   X   X   X  64   X   X   X   5  26   X 
 V1   X   X   X   X  60  23  67   X   X   X   6   X   X   X   X  55   X  98   X   X   X   8  71   X   X 
 V2   5   X   X  59   X   X   X   X   4  13  36   X   X   X   X  70  12   X   X  86   X  58   X   X  53 
 V3  50   X  59   X   X   X   X   X  28  61  84  92   X   X   X   X   X  40   X  70   X   X  19   X   X 
 V4  30  60   X   X   X   X  77  80  58   X  80   X  58   X   X   X   X  36   X  52   X   X   X  11   X 
 V5   X  23   X   X   X   X  41   X   X  61   X   7   X   X   X   X   X  71   X   X   X   X  97  73   X 
 V6  86  67   X   X  77  41   X   X   X  73   X  84   X   X   X   X  65  93   5   X   X  89  50   X  47 
 V7   X   X   X   X  80   X   X   X   X  82  57   X   X   X  25   X  21  87   X  16   X  51   X  95  32 
 V8   X   X   4  28  58   X   X   X   X   X   X  19   X   X   X   X   X   X   X  15   7   X   X  32   5 
 V9   X   X  13  61   X  61  73  82   X   X   X   X  72   X  80   X   X   X   X   1   X   X   X   X   X 
V10  43   6  36  84  80   X   X  57   X   X   X   X  28   X   X   X  36   X   X   X   X   X   X  79  86 
V11   X   X   X  92   X   7  84   X  19   X   X   X   2   X   X   X  79   8   X   X   X   X   X   X   X 
V12   X   X   X   X  58   X   X   X   X  72  28   2   X   X   X   X   X   X  91   X  27  11  21   X   X 
V13   X   X   X   X   X   X   X   X   X   X   X   X   X   X  36   X   X  77   X   X  29   X   X   X   X 
V14   X   X   X   X   X   X   X  25   X  80   X   X   X  36   X  22   X   X  15   X   X  62  56   X   X 
V15   X  55  70   X   X   X   X   X   X   X   X   X   X   X  22   X   X   X   X   X   X   X   X  82  69 
V16   X   X  12   X   X   X  65  21   X   X  36  79   X   X   X   X   X   X   X  27  14  52   X   X   X 
V17   X  98   X  40  36  71  93  87   X   X   X   8   X  77   X   X   X   X   X   X  32   X   X   X   X 
V18  64   X   X   X   X   X   5   X   X   X   X   X  91   X  15   X   X   X   X   X   X   X   X   3   X 
V19   X   X  86  70  52   X   X  16  15   1   X   X   X   X   X   X  27   X   X   X   X   X   X  23   X 
V20   X   X   X   X   X   X   X   X   7   X   X   X  27  29   X   X  14  32   X   X   X  71   X   X   X 
V21   X   8  58   X   X   X  89  51   X   X   X   X  11   X  62   X  52   X   X   X  71   X   X  18   X 
V22   5  71   X  19   X  97  50   X   X   X   X   X  21   X  56   X   X   X   X   X   X   X   X   X  38 
V23  26   X   X   X  11  73   X  95  32   X  79   X   X   X   X  82   X   X   3  23   X  18   X   X   X 
V24   X   X  53   X   X   X  47  32   5   X  86   X   X   X   X  69   X   X   X   X   X   X  38   X   X 
(V19-V9,1)(V12-V11,2)(V18-V23,3)(V2-V8,4)(V18-V6,5)(V2-V0,5)(V0-V22,5)(V24-V8,5)(V1-V10,6)(V8-V20,7)(V11-V5,7)(V1-V21,8)(V11-V17,8)(V12-V21,11)(V23-V4,11)(V16-V2,12)(V2-V9,13)(V14-V18,15)(V19-V7,16)(V21-V23,18)(V11-V8,19)(V3-V22,19)(V14-V15,22)(V20-V13,29)最小生成树总权值为251
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X   X   7  18   X   X  77  31   X   X   X   X  17   X   X   X   X   X   X   X  63   X   X   X   X 
 V1   X   X   X  45   X  48   X   X  75   X   X   X  69   X   X   X   X   X   X   X   X   X   X   X  25 
 V2   7   X   X   X  64   X  11  37   X   X   X   X   X   X  99   X  53   X   X  13   X  41   X   X   X 
 V3  18  45   X   X  16  21   X   X   X   X   X   X  95  46   X   X   X  58   X   X   X   X   X   X   X 
 V4   X   X  64  16   X   X   X   X  86  17  97   X  77   X  89   X  92   X  56  45   X   X   X  12   X 
 V5   X  48   X  21   X   X   X   X  47   7  13   X   X  69   X   X 100  39   X   X   X   X   X   X  83 
 V6  77   X  11   X   X   X   X   X  45  12   X   X   X   X   X  78  44   X   X   X   X   X   X   X   X 
 V7  31   X  37   X   X   X   X   X  62   X  66   X   X  66   X   X  19   X   X   X  78  11   X   X   X 
 V8   X  75   X   X  86  47  45  62   X   X   X   X   7   X   1  98   X   X  69   X   X   X  30   X   X 
 V9   X   X   X   X  17   7  12   X   X   X  47  16   X  45  41   X   X  48   X   X  70   X   X   X   X 
V10   X   X   X   X  97  13   X  66   X  47   X   X   X   X  85  79  67   X   X   X   X   X   X  64   X 
V11   X   X   X   X   X   X   X   X   X  16   X   X  30   X   X   X   X   X   X  32 100   X   X  34  72 
V12  17  69   X  95  77   X   X   X   7   X   X  30   X  69   X   X  23  11   X   X   X  24   X   X  87 
V13   X   X   X  46   X  69   X  66   X  45   X   X  69   X   X   X   X   7   X   X  45   X  35   X  62 
V14   X   X  99   X  89   X   X   X   1  41  85   X   X   X   X  41   X  72  36  72   X  34  21  34   X 
V15   X   X   X   X   X   X  78   X  98   X  79   X   X   X  41   X   X  32   X   X   X   X   X   4   X 
V16   X   X  53   X  92 100  44  19   X   X  67   X  23   X   X   X   X   X   X  24  10  23   X  49   X 
V17   X   X   X  58   X  39   X   X   X  48   X   X  11   7  72  32   X   X   X   X  67   X   X   X  40 
V18   X   X   X   X  56   X   X   X  69   X   X   X   X   X  36   X   X   X   X   X   X  74   X   X   X 
V19   X   X  13   X  45   X   X   X   X   X   X  32   X   X  72   X  24   X   X   X   X   X  73   X   X 
V20  63   X   X   X   X   X   X  78   X  70   X 100   X  45   X   X  10  67   X   X   X  29   X  44  89 
V21   X   X  41   X   X   X   X  11   X   X   X   X  24   X  34   X  23   X  74   X  29   X  35   X   X 
V22   X   X   X   X   X   X   X   X  30   X   X   X   X  35  21   X   X   X   X  73   X  35   X   X   X 
V23   X   X   X   X  12   X   X   X   X   X  64  34   X   X  34   4  49   X   X   X  44   X   X   X   2 
V24   X  25   X   X   X  83   X   X   X   X   X  72  87  62   X   X   X  40   X   X  89   X   X   2   X 
(V8-V14,1)(V24-V23,2)(V15-V23,4)(V17-V13,7)(V9-V5,7)(V0-V2,7)(V8-V12,7)(V20-V16,10)(V21-V7,11)(V17-V12,11)(V2-V6,11)(V23-V4,12)(V6-V9,12)(V10-V5,13)(V19-V2,13)(V11-V9,16)(V4-V3,16)(V9-V4,17)(V12-V0,17)(V7-V16,19)(V22-V14,21)(V16-V12,23)(V1-V24,25)(V14-V18,36)最小生成树总权值为318
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X   X   X   X   X  39   X   X   X   X   X   X   X   X   X   X  20   X   X   3  12  60   X   X   X 
 V1   X   X  50   X   X   X   X   X  10  47   X   X   X   X   X  73   X  90   X  42  34  69   X   X   X 
 V2   X  50   X   X   X   X   X   X   X   X   X  53   X   X   X  99  63  42   X   X   X  69  78  62  40 
 V3   X   X   X   X   X  86  25   X  56   X   X   X   X   X  14  12   X   X   X  40  21   X  51   X   X 
 V4   X   X   X   X   X  75  29   X   X   X   X   X   X  40   X  31   X   X  15  65  42   X   X   X  65 
 V5  39   X   X  86  75   X  11   X  21   X   X  59   X  46   X   7   X   X   X   X   X   X   X   X   X 
 V6   X   X   X  25  29  11   X  18 100   X   X  82   X   X   X   X   X   X  26  11   X   X   X   X  33 
 V7   X   X   X   X   X   X  18   X   X   X   X   X   X  62   X   X   X   X   X   X  45  15   X   X   X 
 V8   X  10   X  56   X  21 100   X   X   X   X  38  27   X   X   X  44   X   X   X  42   X  61   X   X 
 V9   X  47   X   X   X   X   X   X   X   X  19  40   X   X   X  21   X  77   X   X   X   X   X  34   X 
V10   X   X   X   X   X   X   X   X   X  19   X   X   X   X   X   X   X  13   X  15   X  25   X   X   X 
V11   X   X  53   X   X  59  82   X  38  40   X   X  93  84  97   X   X   X  46   X  31   X   X   X  18 
V12   X   X   X   X   X   X   X   X  27   X   X  93   X   X   X  73  53  36   X   X   X   X  39   X  94 
V13   X   X   X   X  40  46   X  62   X   X   X  84   X   X   X   X   X  71   X  48   X  34   X  76  71 
V14   X   X   X  14   X   X   X   X   X   X   X  97   X   X   X  63  12  33   X  11   X   X   X   X  53 
V15   X  73  99  12  31   7   X   X   X  21   X   X  73   X  63   X  85   X  32   X  62   X   X  71   X 
V16  20   X  63   X   X   X   X   X  44   X   X   X  53   X  12  85   X   X   X   X   X   X   9   X   X 
V17   X  90  42   X   X   X   X   X   X  77  13   X  36  71  33   X   X   X   X   X   X  55  63  69   X 
V18   X   X   X   X  15   X  26   X   X   X   X  46   X   X   X  32   X   X   X   X   X  98   X   X   6 
V19   3  42   X  40  65   X  11   X   X   X  15   X   X  48  11   X   X   X   X   X   X  26   X   X  54 
V20  12  34   X  21  42   X   X  45  42   X   X  31   X   X   X  62   X   X   X   X   X  38  33   X   X 
V21  60  69  69   X   X   X   X  15   X   X  25   X   X  34   X   X   X  55  98  26  38   X   X   X  63 
V22   X   X  78  51   X   X   X   X  61   X   X   X  39   X   X   X   9  63   X   X  33   X   X   X   X 
V23   X   X  62   X   X   X   X   X   X  34   X   X   X  76   X  71   X  69   X   X   X   X   X   X   X 
V24   X   X  40   X  65   X  33   X   X   X   X  18  94  71  53   X   X   X   6  54   X  63   X   X   X 
(V0-V19,3)(V24-V18,6)(V5-V15,7)(V16-V22,9)(V1-V8,10)(V14-V19,11)(V6-V5,11)(V6-V19,11)(V14-V16,12)(V0-V20,12)(V15-V3,12)(V10-V17,13)(V4-V18,15)(V19-V10,15)(V7-V21,15)(V7-V6,18)(V24-V11,18)(V9-V10,19)(V5-V8,21)(V6-V18,26)(V12-V8,27)(V23-V9,34)(V21-V13,34)(V2-V24,40)最小生成树总权值为399
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X   X   X   X   X   X   X  40   X   X   X   X  84  11   X  67   X   X   X   X   X   X  71   X   X 
 V1   X   X   X   X   5  49   X   X   X   X   X   X   X   X   X  23   X   X  19   X 100   X  73   X   X 
 V2   X   X   X  98  33   X   X  34   X   X   X   X   X   X  39  71   X   X   X  38   X   X 100  17  41 
 V3   X   X  98   X  35  59   X   X   X   X   X   X   X   X   X  88   X   X   X  34  55   X   X  40   X 
 V4   X   5  33  35   X   X   X   X   X   X   X   X   X   X   3   X   X   X   X   X  55   X   X   2   X 
 V5   X  49   X  59   X   X   X  99   X   X   X   X   X   X   X   X  93   X   X   X  44   X  98   X   X 
 V6   X   X   X   X   X   X   X   X   X   X   X  91  53  76  66   X  75   X   X   X  38   X   X  84  95 
 V7  40   X  34   X   X  99   X   X  15   X   X   X  20   X   X   X   X   X  14   X   X   X   X   X   X 
 V8   X   X   X   X   X   X   X  15   X  31   X   X  19  40  13  48   X   X  84   X   X  30  57   X  46 
 V9   X   X   X   X   X   X   X   X  31   X  64  26  60  33   X  63  33   X   X   X   X   X   X  61  31 
V10   X   X   X   X   X   X   X   X   X  64   X   X   X  52   X   X  74  40   X  57   X   X   X   X   X 
V11   X   X   X   X   X   X  91   X   X  26   X   X   X   X   X  77   X   X   X   X   X  66   X   X  94 
V12  84   X   X   X   X   X  53  20  19  60   X   X   X   X  98   X  60   X   X  97   X   X   X   X   X 
V13  11   X   X   X   X   X  76   X  40  33  52   X   X   X  29  81   X  84   X   X   X   X   X   X  54 
V14   X   X  39   X   3   X  66   X  13   X   X   X  98  29   X   X  90   X   X  85   X  37  45  51  58 
V15  67  23  71  88   X   X   X   X  48  63   X  77   X  81   X   X  89  80   X   X   X   X   X   X  48 
V16   X   X   X   X   X  93  75   X   X  33  74   X  60   X  90  89   X  31   X  60  54   X   X   X   X 
V17   X   X   X   X   X   X   X   X   X   X  40   X   X  84   X  80  31   X   X  72   5   X   X  76   X 
V18   X  19   X   X   X   X   X  14  84   X   X   X   X   X   X   X   X   X   X   X   X  41  90  12   X 
V19   X   X  38  34   X   X   X   X   X   X  57   X  97   X  85   X  60  72   X   X   X   X   X  28   X 
V20   X 100   X  55  55  44  38   X   X   X   X   X   X   X   X   X  54   5   X   X   X   X   X  61  47 
V21   X   X   X   X   X   X   X   X  30   X   X  66   X   X  37   X   X   X  41   X   X   X   X  31  92 
V22  71  73 100   X   X  98   X   X  57   X   X   X   X   X  45   X   X   X  90   X   X   X   X   X  95 
V23   X   X  17  40   2   X  84   X   X  61   X   X   X   X  51   X   X  76  12  28  61  31   X   X  93 
V24   X   X  41   X   X   X  95   X  46  31   X  94   X  54  58  48   X   X   X   X  47  92  95  93   X 
(V23-V4,2)(V4-V14,3)(V1-V4,5)(V17-V20,5)(V13-V0,11)(V23-V18,12)(V8-V14,13)(V7-V18,14)(V23-V2,17)(V12-V8,19)(V1-V15,23)(V11-V9,26)(V23-V19,28)(V13-V14,29)(V21-V8,30)(V24-V9,31)(V9-V8,31)(V17-V16,31)(V9-V16,33)(V3-V19,34)(V20-V6,38)(V17-V10,40)(V5-V20,44)(V14-V22,45)最小生成树总权值为564
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X   X  21   X   X  75   X  64  54   9   X   X   X   X   X   X   X   X  76   3  45  84  35  89   X 
 V1   X   X  62   X   X   X   X   X   X   X   X  26   X   9  66   X   X   6   X   X   X   X   X  66   X 
 V2  21  62   X  82   X   X  77   X  75   X   X  17  27   X   X   X   X  52   X  96   X   X   X   X   X 
 V3   X   X  82   X   X   X   X   X   X   7   X  70   X   X  13   X  84   X   6   X   X   X  31  48   X 
 V4   X   X   X   X   X   X   X   X   X  27   X  56  36  78   X   X   X  73  62  46  89  35   X   X   X 
 V5  75   X   X   X   X   X   X   X   X  54   X   X   X   X   X   X   X   X   X   X   X   X   X   X  23 
 V6   X   X  77   X   X   X   X   X   X   X  37   6  87   X   X  93   X   X   X  90   X  75  71   X   X 
 V7  64   X   X   X   X   X   X   X  54   X   X   X  36  72   X   X   X   X   X  79   X   X  77   X   X 
 V8  54   X  75   X   X   X   X  54   X   X  26   X   X   X   X   X   X   X   X   X   X  62   X   X  41 
 V9   9   X   X   7  27  54   X   X   X   X   X   X  45   X  94   X  89   X  22  94  88  90  66   X   X 
V10   X   X   X   X   X   X  37   X  26   X   X  35   6   X   X  64  14  35   X   X   X   X   X   X   X 
V11   X  26  17  70  56   X   6   X   X   X  35   X  57   X  66   X   X   X  92   X  17   X   X   X   X 
V12   X   X  27   X  36   X  87  36   X  45   6  57   X   X   X  70   X   X   X   X   X   X   X   X   X 
V13   X   9   X   X  78   X   X  72   X   X   X   X   X   X  63   X  11   X  89  94   X   X   X   X   X 
V14   X  66   X  13   X   X   X   X   X  94   X  66   X  63   X   X  52   X   X  26   X   X   X   X  52 
V15   X   X   X   X   X   X  93   X   X   X  64   X  70   X   X   X  17   X   X   X   X   X   X  63  53 
V16   X   X   X  84   X   X   X   X   X  89  14   X   X  11  52  17   X  97  14   X  79   X   X   X  21 
V17   X   6  52   X  73   X   X   X   X   X  35   X   X   X   X   X  97   X   X  19  89  72   X   X  62 
V18  76   X   X   6  62   X   X   X   X  22   X  92   X  89   X   X  14   X   X   X   X   X   X  44   X 
V19   3   X  96   X  46   X  90  79   X  94   X   X   X  94  26   X   X  19   X   X  14   X   X  20   X 
V20  45   X   X   X  89   X   X   X   X  88   X  17   X   X   X   X  79  89   X  14   X   X   X   X  70 
V21  84   X   X   X  35   X  75   X  62  90   X   X   X   X   X   X   X  72   X   X   X   X  70   X  21 
V22  35   X   X  31   X   X  71  77   X  66   X   X   X   X   X   X   X   X   X   X   X  70   X  46   X 
V23  89  66   X  48   X   X   X   X   X   X   X   X   X   X   X  63   X   X  44  20   X   X  46   X   X 
V24   X   X   X   X   X  23   X   X  41   X   X   X   X   X  52  53  21  62   X   X  70  21   X   X   X 
(V19-V0,3)(V18-V3,6)(V1-V17,6)(V6-V11,6)(V12-V10,6)(V3-V9,7)(V0-V9,9)(V13-V1,9)(V16-V13,11)(V3-V14,13)(V20-V19,14)(V10-V16,14)(V18-V16,14)(V15-V16,17)(V20-V11,17)(V2-V11,17)(V19-V23,20)(V24-V16,21)(V24-V21,21)(V5-V24,23)(V10-V8,26)(V4-V9,27)(V3-V22,31)(V12-V7,36)最小生成树总权值为374
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X   X   X   X   X  38  33   X   X   X   X   X   X   X  19   X   X   X   X   X   X   X  79  16   X 
 V1   X   X   X   X   X 100   X  57   X   X  24  16   2   X  44   X  40   X  50   X  76   X   X   X  24 
 V2   X   X   X  40   X  73  46   X   X   X   X   X   X  16   X   X   X  89   X   X  26   X  82  82   X 
 V3   X   X  40   X   X   X  63   X   X  52   3   X   X   X  32   X  26   X   X  33   X  71   X   X   X 
 V4   X   X   X   X   X   X   X   X   X   X   X  89   X  80  22   X   X   X   X   X  41   X   X  12  44 
 V5  38 100  73   X   X   X  91  47   X  51   X  40  75   X  52   X   X   X   X   X   X   X  40   X   5 
 V6  33   X  46  63   X  91   X   X   X  72   X   X   X   X   X   X   X  40   X  35   X  20   X  86   X 
 V7   X  57   X   X   X  47   X   X   X   X   X   X   X   X   X  82  55   X   5   X  54  45  27   X   X 
 V8   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X  23   X   X  20  99  25   X   X   X 
 V9   X   X   X  52   X  51  72   X   X   X   X   X  25   7   X   X   X  44  17   X   X  78   X  76   X 
V10   X  24   X   3   X   X   X   X   X   X   X   X   X   X   X   X   3   X   X  88   X   X   X  29   X 
V11   X  16   X   X  89  40   X   X   X   X   X   X   X   X  57  28  23  68  35   X   X   X   X  39   X 
V12   X   2   X   X   X  75   X   X   X  25   X   X   X   X  20  12  43   X   X  90   X   X   X   X  33 
V13   X   X  16   X  80   X   X   X   X   7   X   X   X   X   X   X   X   X   X   X   X  28  75   8   X 
V14  19  44   X  32  22  52   X   X   X   X   X  57  20   X   X   1  35   X   X   X  17  28   X   X  42 
V15   X   X   X   X   X   X   X  82   X   X   X  28  12   X   1   X   X 100   X   X   X   X  15   X  16 
V16   X  40   X  26   X   X   X  55  23   X   3  23  43   X  35   X   X  12   X   X   X   X  41   X   X 
V17   X   X  89   X   X   X  40   X   X  44   X  68   X   X   X 100  12   X   X   X  76   X  21   X   X 
V18   X  50   X   X   X   X   X   5   X  17   X  35   X   X   X   X   X   X   X   X  44   X   X  44   X 
V19   X   X   X  33   X   X  35   X  20   X  88   X  90   X   X   X   X   X   X   X   X  42   5   X   X 
V20   X  76  26   X  41   X   X  54  99   X   X   X   X   X  17   X   X  76  44   X   X  55   X   X   X 
V21   X   X   X  71   X   X  20  45  25  78   X   X   X  28  28   X   X   X   X  42  55   X   X   X   X 
V22  79   X  82   X   X  40   X  27   X   X   X   X   X  75   X  15  41  21   X   5   X   X   X   X   X 
V23  16   X  82   X  12   X  86   X   X  76  29  39   X   8   X   X   X   X  44   X   X   X   X   X  72 
V24   X  24   X   X  44   5   X   X   X   X   X   X  33   X  42  16   X   X   X   X   X   X   X  72   X 
(V14-V15,1)(V12-V1,2)(V3-V10,3)(V16-V10,3)(V24-V5,5)(V22-V19,5)(V7-V18,5)(V9-V13,7)(V13-V23,8)(V23-V4,12)(V15-V12,12)(V17-V16,12)(V22-V15,15)(V15-V24,16)(V2-V13,16)(V11-V1,16)(V23-V0,16)(V14-V20,17)(V18-V9,17)(V0-V14,19)(V21-V6,20)(V19-V8,20)(V22-V17,21)(V8-V21,25)最小生成树总权值为293
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X   X   X   X  62   X   X   X   X  20  79   X  84  66   X   X   X   X  26   X  83   X   X   X   X 
 V1   X   X   X   7   X  93   X   X   X   X  77   X   X  92  29  33   X   X   X   X   X  33   X   X  72 
 V2   X   X   X   1   X   X   X  59   X   X   X   X   X  18  13   X  73   X  50   X   X   X  91  83   4 
 V3   X   7   1   X   X   X  70   1   X   X  61   X  97   X  81  24   X   X  77   X  45  38   X   X  87 
 V4  62   X   X   X   X   X   X   X   X  95   X   X   X   X   X   X   X   X   X   X   X  25   X   X  39 
 V5   X  93   X   X   X   X  39  13   X  29   X   X   3   X   X  49  83   X   X   X   X   X   6  65  59 
 V6   X   X   X  70   X  39   X  16   X   X   X   X  30   X  84   X  86   X  90   X   X   X  16  92   X 
 V7   X   X  59   1   X  13  16   X   X   X   X   X   X  73   X  39   X   X  53   X  70  18  38   X  36 
 V8   X   X   X   X   X   X   X   X   X   X  76   X   X   X   X   X   X   X   X   3   X   X   X   X  18 
 V9  20   X   X   X  95  29   X   X   X   X   X   X  42   X   X   X   X   X   X   X   X  55   X  79   X 
V10  79  77   X  61   X   X   X   X  76   X   X   X   X  15   X   X   X   X   X  63  44   X   X   X  17 
V11   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X  46  53  74   8   X   X  13   X 
V12  84   X   X  97   X   3  30   X   X  42   X   X   X  68   X   X   X   X   2  58  66   X   X   X   X 
V13  66  92  18   X   X   X   X  73   X   X  15   X  68   X   X   X  94  10   X   X  32   X   X   X  71 
V14   X  29  13  81   X   X  84   X   X   X   X   X   X   X   X  42  33   X   X   X   X   X   X  24   X 
V15   X  33   X  24   X  49   X  39   X   X   X   X   X   X  42   X  55   X   X   X   X   X  81   X   X 
V16   X   X  73   X   X  83  86   X   X   X   X   X   X  94  33  55   X  46   X   X   X   X   X  42   X 
V17   X   X   X   X   X   X   X   X   X   X   X  46   X  10   X   X  46   X  72   X   X  54   X  77   5 
V18  26   X  50  77   X   X  90  53   X   X   X  53   2   X   X   X   X  72   X   X   X   X   X  51  80 
V19   X   X   X   X   X   X   X   X   3   X  63  74  58   X   X   X   X   X   X   X   X   X   X   X   X 
V20  83   X   X  45   X   X   X  70   X   X  44   8  66  32   X   X   X   X   X   X   X  57   X   X   X 
V21   X  33   X  38  25   X   X  18   X  55   X   X   X   X   X   X   X  54   X   X  57   X  22  16   X 
V22   X   X  91   X   X   6  16  38   X   X   X   X   X   X   X  81   X   X   X   X   X  22   X   X  16 
V23   X   X  83   X   X  65  92   X   X  79   X  13   X   X  24   X  42  77  51   X   X  16   X   X   X 
V24   X  72   4  87  39  59   X  36  18   X  17   X   X  71   X   X   X   5  80   X   X   X  16   X   X 
(V2-V3,1)(V7-V3,1)(V12-V18,2)(V8-V19,3)(V5-V12,3)(V2-V24,4)(V17-V24,5)(V5-V22,6)(V3-V1,7)(V11-V20,8)(V13-V17,10)(V7-V5,13)(V11-V23,13)(V14-V2,13)(V13-V10,15)(V22-V6,16)(V23-V21,16)(V24-V8,18)(V21-V7,18)(V9-V0,20)(V15-V3,24)(V4-V21,25)(V0-V18,26)(V14-V16,33)最小生成树总权值为300
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X  76   X   X  33   X  40  76  40   X  89   X   X   X   X   X   X   X   X  42   X   X   X   X   X 
 V1  76   X  40   X   X   2   X  75   4   X  92   X   X  64   X  41   X   X  85  31   X   X  19   X   X 
 V2   X  40   X  19   4   X   X   X  13   X  66  29   X  77  71   X   X  70   X   X   X  39  19   X  46 
 V3   X   X  19   X   X   X   X   X   X   X   X  34   X   X  94   X   X   X  25   X   X   X   X   X  23 
 V4  33   X   4   X   X  88   X   X   X   X   X   X   X  45   X   X   X  34   X  34   X  87   X   X   X 
 V5   X   2   X   X  88   X  71  53  34   X   X   X   X   X   X   X  99   X   1  17  35   X   X   5  65 
 V6  40   X   X   X   X  71   X  99   X   X   X   X  43   X   X  42   X   X   X   X   X  15   X   X   X 
 V7  76  75   X   X   X  53  99   X   X   X   X   X   X  34  15   X   X   X  48   X   X  76   X   X  61 
 V8  40   4  13   X   X  34   X   X   X   X  34  35   X   X   X   X   X   X  39  85   X  25   X   6   X 
 V9   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X  13   X   X   X   X  42   X 
V10  89  92  66   X   X   X   X   X  34   X   X   X   X  35  85  83  41  69  48  58   X   X   X   X   X 
V11   X   X  29  34   X   X   X   X  35   X   X   X   X   X   X   X  70   X  83  86  44  86   X   X   X 
V12   X   X   X   X   X   X  43   X   X   X   X   X   X  61   X   X   X   X   X   X   X   X   X   X   X 
V13   X  64  77   X  45   X   X  34   X   X  35   X  61   X   X  71   X   X   X   X   X   X  39  64   X 
V14   X   X  71  94   X   X   X  15   X   X  85   X   X   X   X   X   X  60   X  66   X   X   X   X   X 
V15   X  41   X   X   X   X  42   X   X   X  83   X   X  71   X   X   X   X   X   X   X   X   X  13   X 
V16   X   X   X   X   X  99   X   X   X   X  41  70   X   X   X   X   X  90   X   X   X   X  19   X  49 
V17   X   X  70   X  34   X   X   X   X   X  69   X   X   X  60   X  90   X   X   X  34   X   X   X  72 
V18   X  85   X  25   X   1   X  48  39  13  48  83   X   X   X   X   X   X   X   X   X   X   X  99  98 
V19  42  31   X   X  34  17   X   X  85   X  58  86   X   X  66   X   X   X   X   X   X  63   X 100   X 
V20   X   X   X   X   X  35   X   X   X   X   X  44   X   X   X   X   X  34   X   X   X  69   X  63  62 
V21   X   X  39   X  87   X  15  76  25   X   X  86   X   X   X   X   X   X   X  63  69   X  96  14  55 
V22   X  19  19   X   X   X   X   X   X   X   X   X   X  39   X   X  19   X   X   X   X  96   X  36  41 
V23   X   X   X   X   X   5   X   X   6  42   X   X   X  64   X  13   X   X  99 100  63  14  36   X   4 
V24   X   X  46  23   X  65   X  61   X   X   X   X   X   X   X   X  49  72  98   X  62  55  41   4   X 
